Edition	TaskCode	Week	Training Type	Task Start date	Task End Date	Completion date			Owner	"Status
(PickList)"	EditionTaskCode
2310-A Partners	W2T01	Week 2	GLR	10/9/2023	10/11/2023	11/19/2023			Telmo	Done	2310-A PartnersW2T01
2310-A Partners	W2T02	Week 2	GLR	10/9/2023	10/15/2023	11/19/2023			Afonso	Done	2310-A PartnersW2T02
2310-A Partners	W2T03	Week 2	GLR	10/9/2023	10/15/2023	11/19/2023			Telmo	Done	2310-A PartnersW2T03
2310-A Partners	W2T04	Week 2	GLR	#N/A	#N/A	11/19/2023			Telmo	Done	2310-A PartnersW2T04
2310-A Partners	W2T05	Week 2	GLR	#N/A	#N/A	11/19/2023			Telmo	Done	2310-A PartnersW2T05
2310-A Partners	W2T06	Week 2	GLR	#N/A	#N/A	11/19/2023			Telmo	Done	2310-A PartnersW2T06
2310-A Partners	W2T07	Week 2	GLR	#N/A	#N/A	11/19/2023			Telmo	Done	2310-A PartnersW2T07
2310-A Partners	W3T01	Week 3	GLR	10/16/2023	10/22/2023	11/26/2023			Telmo	Done	2310-A PartnersW3T01
2310-A Partners	W3T02	Week 3	GLR	10/16/2023	10/22/2023	11/26/2023			Afonso	Done	2310-A PartnersW3T02
2310-A Partners	W3T03	Week 3	GLR	10/16/2023	10/22/2023	11/26/2023			Telmo	Done	2310-A PartnersW3T03
2310-A Partners	W3T04	Week 3	GLR	10/16/2023	10/22/2023	11/26/2023			Telmo	Done	2310-A PartnersW3T04
2310-A Partners	W3T05	Week 3	GLR	10/16/2023	10/22/2023	11/26/2023			Telmo	Done	2310-A PartnersW3T05
2310-A Partners	W3T06	Week 3	GLR	10/16/2023	10/22/2023	11/26/2023			Telmo	Done	2310-A PartnersW3T06
2310-A Partners	W3T07	Week 3	GLR	#N/A	#N/A	11/26/2023			Telmo	Done	2310-A PartnersW3T07
2310-A Partners	W3T08	Week 3	GLR	#N/A	#N/A	11/26/2023			Telmo	Done	2310-A PartnersW3T08
2310-A Partners	W3T09	Week 3	GLR	#N/A	#N/A	11/26/2023			Telmo	Done	2310-A PartnersW3T09
2310-A Partners	W3T10	Week 3	GLR	#N/A	#N/A	11/26/2023			Telmo	Done	2310-A PartnersW3T10
2310-A Partners	W3T11	Week 3	GLR	#N/A	#N/A	11/26/2023			Telmo	Done	2310-A PartnersW3T11
2310-A Partners	W3T12	Week 3	GLR	#N/A	#N/A	11/26/2023			Telmo	Done	2310-A PartnersW3T12
2310-A Partners	W4T01	Week 4	GLR	10/23/2023	10/23/2023	12/3/2023			Afonso	Done	2310-A PartnersW4T01
